**INFO_BEGIN**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,WT310,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number,C2QG19067V,,,,,,,,,,,,,,,,,,,,,,,,,,
Version,F1.04,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2016,1,15,11,14,35,,,,,,,,,,,,,,,,,,,,,
Voltage Range,150,V,,,,,,,,,,,,,,,,,,,,,,,,,
Current Range,0.5,A,,,,,,,,,,,,,,,,,,,,,,,,,
Crest Factor,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Rate,0.25,S,,,,,,,,,,,,,,,,,,,,,,,,,
Standard,IEC62301 Ed.2(Auto),,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle Time,300,,,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm,LR,CA,SP1,SP2,SAE,,,,,,,,,,,,,,,,,,,,,,
Stop Factor,LR Stable,,,,,,,,,,,,,,,,,,,,,,,,,,
Valid Period,300,900,,,,,,,,,,,,,,,,,,,,,,,,,
**INFO_END**,,,,,,,,,,,,,,,,,,,,,,,,,,,
**DATA_BEGIN**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Test Voltage(V),Test Frequency(Hz),THD,Crest Factor U,Crest Factor I,Power(W),Accumulated Energy(Wh),Real Power Factor,Apparent Power(VA),TrendCount,LR-MeasurePower,LR-Threshold,CA-AverageMaximum,CA-AverageMinimum,CA-ThresholdMaximum,CA-ThresholdMinimum,SP1-MeasurePower,SP1-Threshold,SP2-MeasurePower,SP2-Threshold,SAE-MeasurePower,SAE-Threshold,Time (hr),Slope (W/hr),,,
9.25,119.82,59.965,0.092,1.418,6.271,1.235,0.00429,0.1896,6.515,0,,,,,,,,,,,,,0.002569447,,,,
9.5,119.82,59.973,0.032,1.418,6.195,1.295,0.004379,0.1946,6.653,0,,,,,,,,,,,,,0.002638891,,,,
9.75,119.8,59.966,0.058,1.418,5.959,1.33,0.004472,0.1954,6.804,0,,,,,,,,,,,,,0.002708336,,,,
10,119.8,59.976,0.171,1.418,5.877,1.336,0.004565,0.198,6.746,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.00277778,,,,
10.25,119.8,59.977,0.054,1.418,5.802,1.275,0.004655,0.1922,6.634,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.002847225,,,,
10.5,119.81,59.966,0.102,1.418,6.198,1.285,0.004744,0.194,6.625,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.002916669,,,,
10.75,119.81,59.973,0.185,1.418,5.829,1.32,0.004835,0.1981,6.665,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.002986114,,,,
11,119.81,59.966,0.067,1.418,6.08,1.341,0.004928,0.1981,6.768,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.003055558,,,,
11.25,119.81,59.976,0.186,1.418,6.308,1.329,0.00502,0.199,6.682,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.003125003,,,,
11.5,119.8,59.973,0.036,1.418,6.313,1.305,0.00511,0.1957,6.669,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.003194447,,,,
