0:00:00,STATE,PFACTOR,RMDRY1,RMHUM1,RMSUPPT1,RMCOOLT1,RMDEHUMT1,RMGLYT1,RMHEATCTRL1,RMSTEAMCTRL1,RMCOOLCTRL1,RMDEHUMCTRL1,RMSTATUS1,DOORENABLE,VOLTSET1,VOLTSET2,VOLTSET3,VOLTSET4,VOLTSET5,VOLTSET6,VOLTSET7,VOLTSET8,GBLRMDRY1,GBLRMHUM1,GBLESTOP1,FREQ
0:00:00,State,Pwr Fac,RM2 Rm Dry1,RM2 Rm Hum1,RM2 Rm Supp T1,RM2 Rm Cool T1,RM2 Rm Dehum T1,RM2 Rm Gly T1,RM2 Rm Heat Ctrl1,RM2 Rm Steam Valve1,RM2 Rm Cool Valve1,RM2 Rm Dehum Valve1,RM2 Rm Status1,RM2 Door Enable,RM2 Volt Set1,RM2 Volt Set2,RM2 Volt Set3,RM2 Volt Set4,RM2 Volt Set5,RM2 Volt Set6,RM2 Volt Set7,RM2 Volt Set8,RM2 Gbl Rm Dry1,RM2 Gbl Rm Hum1,RM2 Gbl Estop1,RM2-1 Frequency
0:00:00,0,0.00,89.94,19.16,85.96,85.06,69.58,0.00,33.92,0.00,24.52,97.69,0.00,1,0,115,115,115,115,115,115,115,89.94,19.2,0.00,0.00
0:01:00,0,0.00,89.94,19.16,85.69,84.25,68.68,0,34.93,0,23.30,96.30,0,1,0,114.90,115.03,115.05,114.95,114.67,115.12,114.96,89.94,19.2,0,0
0:02:00,0,0.00,89.94,19.16,86.23,84.97,70.57,0,32.83,0,24.70,98.88,0,1,0,114.83,114.98,114.93,115.11,114.66,115.10,114.88,89.94,19.2,0,0
0:03:01,0,0.00,89.94,19.16,86.32,85.78,70.48,0,32.61,0,25.63,99.53,0,1,0,114.88,114.94,115.02,114.94,114.72,115.02,115.00,89.94,19.2,0,0
0:04:01,0,0.00,89.94,19.16,85.96,84.52,68.50,0,34.07,0,23.69,96.03,0,1,0,114.86,115.01,114.98,114.94,114.65,114.93,114.89,89.94,19.2,0,0
0:05:01,0,0.00,89.94,19.16,86.05,84.43,69.94,0,33.59,0,23.59,98.24,0,1,0,114.81,115.00,114.96,114.93,114.88,115.16,114.98,89.94,19.2,0,0
0:06:01,0,0.00,89.94,19.16,86.50,86.14,71.02,0,31.94,0,26.21,100.00,0,1,0,114.89,114.91,115.02,115.10,115.06,115.11,114.93,89.94,19.2,0,0
0:07:01,0,0.00,89.94,19.06,86.14,85.24,69.49,0,33.45,0,24.80,98.12,0,1,0,114.99,115.00,115.00,115.15,115.01,115.02,115.00,89.94,19.1,0,0
0:08:01,0,0.00,89.94,19.06,85.87,84.43,68.95,0,34.36,0,23.58,96.75,0,1,0,114.84,115.00,115.03,115.09,115.04,115.20,115.07,89.94,19.1,0,0
