0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,CABVARIATION,FRZVARIATION,TC1,TC2,TC3,TC11,TC12,TC13,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Cab,Ambient,Frez Door,Cab Door,Def/Rec Time,CabVariation,FrzVariation,FC1,FC2,FC3,FF1,FF2,FF3,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:01,1,0.86,114.9,7.50,7.45,0.00057,77.5367,77.5933,89.56,-999.00,-999.00,0.000000,0.000000,0.000000,77.55,77.53,77.53,77.54,77.57,77.67,89.20,89.23,89.63,89.93,89.89,90.22,0.00000
0:00:50,1,0.82,114.8,6.50,6.41,0.00100,77.4367,77.5933,89.56,-999.00,-999.00,0,999.00,999.00,77.41,77.45,77.45,77.56,77.55,77.67,89.20,89.23,89.63,89.93,89.89,90.22,0.06475
0:01:40,1,0.85,115.1,7.10,7.61,0.00200,77.3000,77.5800,89.56,-999.00,-999.00,0,999.00,999.00,77.23,77.36,77.31,77.57,77.54,77.63,89.20,89.23,89.63,89.93,89.89,90.22,0
0:02:31,1,0.87,115.1,7.70,7.62,0.00303,77.0133,77.5533,89.56,-999.00,-999.00,0,999.00,999.00,76.83,77.15,77.06,77.52,77.52,77.62,89.20,89.23,89.63,89.93,89.89,90.22,0.06475
0:03:21,1,0.87,115.1,7.80,7.77,0.00417,76.6567,77.5033,89.56,-999.00,-999.00,0,999.00,999.00,76.33,76.93,76.71,77.47,77.49,77.55,89.20,89.23,89.63,89.93,89.89,90.22,0
