0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC,FF,Current Leakage (mA),RoomTemp,Humidity
0:00:00,1,0.04,114.9,0.30,0.01,0.00000,5.79,41.55,-999.00,-999.00,-999.00,0,5.79,41.55,0.06492,78.10,83.2,78.10
0:00:00,1,0.04,114.9,0.30,0.01,0,5.79,41.55,-999.00,-999.00,-999.00,0,5.79,41.55,0.06492,78.10,83.2,78.10
0:00:00,1,0.04,114.9,0.30,0.01,0,5.79,41.55,-999.00,-999.00,-999.00,0,5.79,41.55,0.06492,78.10,83.2,78.10
0:00:00,1,0.04,114.9,0.30,0.01,0,5.79,41.55,-999.00,-999.00,-999.00,0,5.79,41.55,0.06492,78.10,83.2,78.10
0:00:50,1,0.04,115.0,0.30,0.01,0.00000,5.96,41.61,-999.00,-999.00,-999.00,0,5.96,41.61,0.06492,78.30,80.8,78.30
0:01:40,1,0.04,115.0,0.30,0.01,0.00000,6.07,41.60,-999.00,-999.00,-999.00,0,6.07,41.60,0.06492,79.09,80.6,79.09
0:02:30,1,0.04,115.0,0.30,0.01,0.00001,6.20,41.65,-999.00,-999.00,-999.00,0,6.20,41.65,0.06492,79.68,78.2,79.68
0:03:20,1,0.04,114.9,0.30,0.01,0.00001,6.37,41.70,-999.00,-999.00,-999.00,0,6.37,41.70,0.06492,80.28,75.6,80.28
0:04:11,1,0.04,114.9,0.30,0.01,0.00001,6.56,41.77,-999.00,-999.00,-999.00,0,6.56,41.77,0.06492,80.87,75.4,80.87
0:05:01,1,0.04,115.0,0.30,0.01,0.00001,6.69,41.83,-999.00,-999.00,-999.00,0,6.69,41.83,0.30432,81.67,75.4,81.67
0:05:51,1,0.04,115.0,0.30,0.01,0.00002,6.83,41.86,-999.00,-999.00,-999.00,0,6.83,41.86,0.30432,82.06,74.8,82.06
0:06:42,1,0.04,115.0,0.30,0.01,0.00002,6.97,41.91,-999.00,-999.00,-999.00,0,6.97,41.91,0.06492,82.66,74.1,82.66
0:07:32,1,0.04,115.0,0.30,0.01,0.00002,7.16,41.97,-999.00,-999.00,-999.00,0,7.16,41.97,0.06492,83.06,72.7,83.06
0:08:01,1,0.04,115.0,0.30,0.01,0.00002,7.27,42.00,-999.00,-999.00,-999.00,0,7.27,42.00,0.06492,83.25,71.4,83.25
0:08:01,1,0.04,115.0,0.30,0.01,0.00002,7.27,42.00,-999.00,-999.00,-999.00,0,7.27,42.00,0.06492,83.25,71.4,83.25
0:08:01,1,0.04,115.0,0.30,0.01,0.00002,7.27,42.00,-999.00,-999.00,-999.00,0,7.27,42.00,0.06492,83.25,71.4,83.25
0:08:51,1,0.04,115.0,0.30,0.01,0.00002,7.45,42.10,-999.00,-999.00,-999.00,0,7.45,42.10,0.06492,83.85,71.8,83.85
0:09:41,1,0.04,115.0,0.30,0.01,0.00002,7.60,42.13,-999.00,-999.00,-999.00,0,7.60,42.13,0.06492,84.05,72.2,84.05
0:10:32,1,0.04,115.0,0.30,0.01,0.00003,7.74,42.16,-999.00,-999.00,-999.00,0,7.74,42.16,0.30432,84.44,71.6,84.44
0:11:22,1,0.04,115.0,0.30,0.01,0.00003,7.92,42.23,-999.00,-999.00,-999.00,0,7.92,42.23,0.30432,84.64,71.9,84.64
