0:00:00,STATE,PFACTOR,RMDRY1,RMHUM1,RMSUPPT1,RMCOOLT1,RMDEHUMT1,RMHEATCTRL1,RMSTEAMCTRL1,RMCOOLCTRL1,RMDEHUMCTRL1,RMSTATUS1,DOORENABLE,VOLTSET1,VOLTSET2,VOLTSET3,VOLTSET4,VOLTSET5,VOLTSET6,VOLTSET7,VOLTSET8,GBLRMDRY1,GBLRMHUM1,GBLESTOP1,FREQ
0:00:00,State,Pwr Fac,RM4 Rm Dry1,RM4 Rm Hum1,RM4 Rm Supp T1,RM4 Rm Cool T1,RM4 Rm Dehum T1,RM4 Rm Heat Ctrl1,RM4 Rm Steam Valve1,RM4 Rm Cool Valve1,RM4 Rm Dehum Valve1,RM4 Rm Status1,RM3 Door Enable,RM4 Volt Set1,RM4 Volt Set2,RM4 Volt Set3,RM4 Volt Set4,RM4 Volt Set5,RM4 Volt Set6,RM4 Volt Set7,RM4 Volt Set8,RM4 Gbl Rm Dry1,RM4 Gbl Rm Hum1,RM4 Gbl Estop1,RM4-1 Frequency
0:00:00,0,0.00,69.97,24.67,65.62,64.99,52.93,20.72,0.00,25.35,99.13,0.00,1,115,115,115,115,122,115,115,115,69.97,24.7,0.00,60.01
0:01:00,0,0.00,69.97,24.67,65.35,64.45,52.57,21.79,0,24.54,98.46,0,1,115.40,114.88,115.14,115.24,122.15,114.88,114.93,114.90,69.97,24.7,0,60.02
0:02:00,0,0.00,69.97,24.67,65.35,64.45,52.57,21.87,0,24.53,98.86,0,1,115.22,114.89,115.13,115.22,122.25,114.87,114.89,114.85,69.97,24.7,0,60.00
0:03:00,0,0.00,69.97,24.67,65.35,64.45,52.75,21.95,0,24.53,98.57,0,1,115.14,114.91,115.20,115.21,122.08,114.77,114.83,114.89,69.97,24.7,0,60.01
0:04:00,0,0.00,69.97,24.67,65.35,65.44,53.02,21.93,0,25.77,99.54,0,1,115.18,114.87,115.10,115.19,122.12,114.86,114.88,114.77,69.97,24.7,0,59.98
0:05:00,0,0.00,69.97,24.67,65.44,65.80,53.56,21.58,0,26.62,100.00,0,1,115.16,114.75,115.02,115.27,122.13,114.76,114.83,114.88,69.97,24.7,0,59.99
0:06:01,0,0.00,69.97,24.67,65.62,65.53,53.56,20.91,0,26.22,100.00,0,1,115.22,114.99,115.22,115.22,122.14,114.92,114.95,114.88,69.97,24.7,0,60.02
0:07:01,0,0.00,69.97,24.67,65.62,64.63,53.11,20.90,0,24.85,99.14,0,1,115.17,114.85,115.13,115.28,121.96,114.82,114.87,115.00,69.97,24.7,0,60.02
0:08:01,0,0.00,69.97,24.67,65.35,64.45,52.57,21.92,0,24.58,98.13,0,1,115.21,114.88,115.11,115.24,122.15,114.91,114.82,114.89,69.97,24.7,0,60.02
0:09:01,0,0.00,69.97,24.67,65.35,64.45,52.75,21.92,0,24.58,98.90,0,1,115.36,114.95,115.27,115.29,122.11,114.91,114.94,114.96,69.97,24.7,0,60.02
