0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,CABVARIATION,FRZVARIATION,TC1,TC2,TC3,TC4,TC5,TC6,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Cab,Ambient,Frez Door,Cab Door,Def/Rec Time,CabVariation,FrzVariation,FF 1 Upper,FF 2 Upper,FF 3 Upper,FF 1  Lower,FF 2 Lower,FF3 Lower,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:01,1,0.27,120.1,0.30,0.09,0.00012,-999.0000,36.1600,69.82,-999.00,-999.00,0.000000,0.000000,0.000000,40.15,37.57,34.51,37.10,32.83,34.80,69.28,69.71,69.42,69.60,69.93,69.51
0:00:50,1,0.27,120.1,0.30,0.09,0.00001,-999.0000,36.1383,69.82,-999.00,-999.00,0,999.00,999.00,40.11,37.55,34.46,37.07,32.88,34.76,69.28,69.71,69.39,69.54,69.92,69.50
0:01:41,1,0.27,120.1,0.30,0.09,0.00003,-999.0000,36.1800,69.79,-999.00,-999.00,0,999.00,999.00,40.15,37.55,34.51,37.10,32.94,34.83,69.27,69.70,69.40,69.54,69.89,69.49
0:02:31,1,0.27,120.1,0.30,0.09,0.00004,-999.0000,36.1833,69.82,-999.00,-999.00,0,999.00,999.00,40.10,37.55,34.51,37.10,33.02,34.82,69.25,69.71,69.41,69.56,69.93,69.50
0:03:21,1,0.27,120.0,0.30,0.09,0.00005,-999.0000,36.1833,69.88,-999.00,-999.00,0,999.00,999.00,40.07,37.52,34.52,37.07,33.09,34.83,69.33,69.80,69.42,69.60,69.95,69.53
0:04:11,1,0.27,120.0,0.30,0.10,0.00007,-999.0000,36.2417,69.86,-999.00,-999.00,0,999.00,999.00,40.15,37.55,34.54,37.13,33.16,34.92,69.28,69.76,69.43,69.61,69.96,69.51
0:05:02,1,0.27,120.1,0.30,0.10,0.00008,-999.0000,36.2933,69.92,-999.00,-999.00,0,0.13,999.00,40.18,37.57,34.59,37.16,33.29,34.97,69.36,69.83,69.48,69.63,70.01,69.58
0:05:52,1,0.27,120.0,0.30,0.10,0.00009,-999.0000,36.3667,69.96,-999.00,-999.00,0,0.21,999.00,40.19,37.67,34.67,37.24,33.41,35.02,69.39,69.85,69.53,69.67,70.06,69.59
0:06:42,1,0.27,120.1,0.30,0.10,0.00011,-999.0000,36.4083,69.96,-999.00,-999.00,0,0.25,999.00,40.22,37.70,34.72,37.27,33.48,35.06,69.37,69.88,69.54,69.72,70.05,69.61
0:07:32,1,0.27,120.0,0.30,0.09,0.00012,-999.0000,36.4267,70.00,-999.00,-999.00,0,0.27,999.00,40.21,37.69,34.74,37.25,33.55,35.12,69.37,69.90,69.56,69.69,70.10,69.65
0:08:23,1,0.27,120.1,0.30,0.10,0.00014,-999.0000,36.4783,69.99,-999.00,-999.00,0,0.32,999.00,40.24,37.73,34.78,37.29,33.65,35.18,69.40,69.89,69.55,69.68,70.09,69.66
0:09:13,1,0.26,120.1,0.30,0.09,0.00015,-999.0000,36.5067,69.96,-999.00,-999.00,0,0.35,999.00,40.29,37.69,34.79,37.29,33.76,35.22,69.36,69.85,69.52,69.65,70.07,69.61
0:10:03,1,0.26,120.1,0.30,0.09,0.00016,-999.0000,36.5567,70.01,-999.00,-999.00,0,0.26,999.00,40.29,37.77,34.87,37.32,33.82,35.27,69.40,69.91,69.56,69.68,70.10,69.66
0:10:53,1,0.26,120.1,0.30,0.09,0.00018,-999.0000,36.6000,69.99,-999.00,-999.00,0,0.30,999.00,40.30,37.80,34.92,37.38,33.90,35.30,69.38,69.88,69.53,69.72,70.09,69.62
0:11:43,1,0.27,120.1,0.30,0.10,0.00019,-999.0000,36.6017,69.98,-999.00,-999.00,0,0.31,999.00,40.29,37.77,34.92,37.37,33.96,35.30,69.36,69.87,69.54,69.70,70.09,69.61
0:12:34,1,0.27,120.1,0.30,0.10,0.00020,-999.0000,36.6350,69.99,-999.00,-999.00,0,0.34,999.00,40.31,37.79,34.93,37.39,34.02,35.37,69.35,69.89,69.53,69.68,70.09,69.62
0:13:24,1,0.27,120.1,0.30,0.10,0.00022,-999.0000,36.6683,69.99,-999.00,-999.00,0,0.38,999.00,40.32,37.80,34.95,37.38,34.15,35.41,69.34,69.89,69.53,69.68,70.10,69.62
0:14:14,1,0.27,120.1,0.30,0.09,0.00023,-999.0000,36.7150,69.96,-999.00,-999.00,0,0.42,999.00,40.34,37.85,35.02,37.44,34.20,35.44,69.31,69.85,69.48,69.65,70.07,69.59
0:15:04,1,0.27,120.0,0.30,0.10,0.00024,-999.0000,36.8667,70.06,-999.00,-999.00,0,0.31,999.00,40.49,37.96,35.14,37.57,34.42,35.62,69.40,69.95,69.58,69.76,70.17,69.70
0:15:55,1,0.27,120.0,0.30,0.09,0.00026,-999.0000,37.0133,70.20,-999.00,-999.00,0,0.46,999.00,40.59,38.10,35.33,37.70,34.56,35.80,69.49,70.10,69.70,69.87,70.30,69.81
