0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FA MID,CA MID,Current Leakage (mA),RoomTemp,Humidity
0:00:00,2,0.97,115.2,8.50,9.67,0.00000,7.08,42.63,-999.00,-999.00,-999.00,0,7.08,42.63,0.06475,80.97,71.5,111.57
0:00:50,2,0.97,114.8,8.80,9.87,0.00138,8.30,43.06,-999.00,-999.00,-999.00,0,8.30,43.06,0.06475,81.57,71.2,111.57
0:01:40,2,0.97,114.8,8.60,9.66,0.00266,8.55,43.17,-999.00,-999.00,-999.00,0,8.55,43.17,0.06475,82.16,70.6,111.57
0:02:31,2,0.97,114.9,8.60,9.59,0.00402,8.63,43.20,-999.00,-999.00,-999.00,0,8.63,43.20,0.06475,82.56,68.9,111.57
0:03:21,2,0.97,114.9,8.50,9.50,0.00536,8.65,43.27,-999.00,-999.00,-999.00,0,8.65,43.27,0.06475,82.76,68.4,111.57
0:04:11,2,0.97,114.9,8.50,9.49,0.00670,8.52,43.23,-999.00,-999.00,-999.00,0,8.52,43.23,0.06475,83.16,67.8,111.57
0:05:01,2,0.97,114.9,8.50,9.46,0.00803,8.37,43.21,-999.00,-999.00,-999.00,0,8.37,43.21,0.06475,83.35,67.3,111.57
0:05:51,2,0.97,114.9,8.40,9.41,0.00936,8.10,43.18,-999.00,-999.00,-999.00,0,8.10,43.18,0.06475,83.75,67.7,111.57
0:06:41,2,0.97,114.9,8.40,9.36,0.01069,7.93,43.17,-999.00,-999.00,-999.00,0,7.93,43.17,0.06475,83.95,67.9,111.57
0:07:32,2,0.97,114.9,8.40,9.34,0.01200,7.54,43.13,-999.00,-999.00,-999.00,0,7.54,43.13,0.06475,84.35,66.9,111.57
0:08:02,2,0.97,114.9,8.30,9.32,0.01279,7.39,43.13,-999.00,-999.00,-999.00,0,7.39,43.13,0.06475,84.35,66.3,111.57
0:08:02,2,0.97,114.9,8.30,9.32,0.01279,7.39,43.13,-999.00,-999.00,-999.00,0,7.39,43.13,0.06475,84.35,66.3,111.57
0:08:02,2,0.97,114.9,8.30,9.32,0.01279,7.39,43.13,-999.00,-999.00,-999.00,0,7.39,43.13,0.06475,84.35,66.3,111.57
0:08:08,2,0.98,114.9,8.50,9.30,0.01288,7.36,43.10,-999.00,-999.00,-999.00,0,7.36,43.10,0.06475,84.35,66.3,111.57
0:08:08,2,0.98,114.9,8.50,9.30,0.01288,7.36,43.10,-999.00,-999.00,-999.00,0,7.36,43.10,0.06475,84.35,66.3,111.57
0:08:08,2,0.98,114.9,8.50,9.30,0.01288,7.36,43.10,-999.00,-999.00,-999.00,0,7.36,43.10,0.06475,84.35,66.3,111.57
0:08:58,2,0.97,114.9,8.30,9.24,0.01420,7.02,43.51,-999.00,-999.00,-999.00,0,7.02,43.51,0.06475,84.54,65.8,111.57
0:09:49,2,0.97,114.9,8.30,9.26,0.01550,6.73,43.60,-999.00,-999.00,-999.00,0,6.73,43.60,0.06475,84.74,66.7,111.57
0:10:39,2,0.97,114.9,8.30,9.26,0.01681,6.34,43.61,-999.00,-999.00,-999.00,0,6.34,43.61,0.06475,84.94,67.2,111.57
0:11:29,2,0.97,114.9,8.30,9.26,0.01811,6.02,43.63,-999.00,-999.00,-999.00,0,6.02,43.63,0.06475,85.14,67.9,111.57
0:12:20,2,0.97,114.9,8.30,9.23,0.01941,5.68,43.60,-999.00,-999.00,-999.00,0,5.68,43.60,0.06475,85.34,66.8,111.57
0:13:10,2,0.97,114.9,8.30,9.23,0.02071,5.35,43.54,-999.00,-999.00,-999.00,0,5.35,43.54,0.06475,85.54,66.1,111.57
0:14:01,2,0.97,114.9,8.20,9.22,0.02201,4.92,43.47,-999.00,-999.00,-999.00,0,4.92,43.47,0.06475,85.54,65.8,111.57
0:14:51,2,0.97,114.9,8.20,9.20,0.02331,4.63,43.46,-999.00,-999.00,-999.00,0,4.63,43.46,0.06475,85.73,65.8,111.57
0:15:41,2,0.97,114.9,8.20,9.14,0.02460,4.21,43.40,-999.00,-999.00,-999.00,0,4.21,43.40,0.06475,85.73,66.4,111.57
0:16:04,2,0.97,114.9,8.20,9.14,0.02512,4.03,43.39,-999.00,-999.00,-999.00,0,4.03,43.39,0.06475,85.93,66.7,111.57
0:16:04,2,0.97,114.9,8.20,9.14,0.02512,4.03,43.39,-999.00,-999.00,-999.00,0,4.03,43.39,0.06475,85.93,66.7,111.57
0:16:04,2,0.97,114.9,8.20,9.14,0.02512,4.03,43.39,-999.00,-999.00,-999.00,0,4.03,43.39,0.06475,85.93,66.7,111.57
0:16:10,2,0.97,114.9,8.50,9.15,0.02529,4.01,43.38,-999.00,-999.00,-999.00,0,4.01,43.38,0.06475,85.93,66.7,111.57
0:16:10,2,0.97,114.9,8.50,9.15,0.02529,4.01,43.38,-999.00,-999.00,-999.00,0,4.01,43.38,0.06475,85.93,66.7,111.57
0:16:10,2,0.97,114.9,8.50,9.15,0.02529,4.01,43.38,-999.00,-999.00,-999.00,0,4.01,43.38,0.06475,85.93,66.7,111.57
0:17:00,2,0.97,115.0,8.20,9.14,0.02658,3.68,43.79,-999.00,-999.00,-999.00,0,3.68,43.79,0.06475,85.93,66.6,111.57
0:17:51,2,0.97,115.0,8.20,9.13,0.02787,3.30,43.84,-999.00,-999.00,-999.00,0,3.30,43.84,0.06475,86.13,65.1,111.57
0:18:41,2,0.97,115.0,8.20,9.12,0.02916,2.90,43.83,-999.00,-999.00,-999.00,0,2.90,43.83,0.06475,86.33,64.8,111.57
0:19:31,2,0.97,115.0,8.10,9.12,0.03044,2.59,43.82,-999.00,-999.00,-999.00,0,2.59,43.82,0.06475,86.33,64.7,111.57
0:20:21,2,0.97,114.9,8.10,9.06,0.03172,2.25,43.80,-999.00,-999.00,-999.00,0,2.25,43.80,0.06475,86.53,64.8,111.57
0:21:11,2,0.97,115.0,8.10,9.04,0.03300,1.93,43.78,-999.00,-999.00,-999.00,0,1.93,43.78,0.06475,86.53,65.3,111.57
0:22:01,2,0.97,115.0,8.10,9.05,0.03419,1.58,43.67,-999.00,-999.00,-999.00,0,1.58,43.67,0.06475,86.53,65.7,111.57
