0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,CABVARIATION,FRZVARIATION,TC1,TC2,TC3,TC11,TC12,TC13,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Cab,Ambient,Frez Door,Cab Door,Def/Rec Time,CabVariation,FrzVariation,FC1,FC2,FC3,FF1,FF2,FF3,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:01,2,0.98,114.9,7.70,8.66,0.86041,-1.3933,39.5400,89.84,-999.00,-999.00,0.000000,0.000000,0.000000,-2.81,-0.76,-0.61,41.74,39.38,37.50,89.86,89.97,89.83,89.78,89.71,89.57
0:00:50,2,0.98,114.9,7.70,8.65,0.00122,-1.5600,39.3767,89.84,-999.00,-999.00,0,999.00,999.00,-3.02,-0.92,-0.74,41.61,39.22,37.30,89.86,89.97,89.83,89.78,89.71,89.57
0:01:40,2,0.98,114.8,7.70,8.63,0.00244,-1.7367,39.2500,89.86,-999.00,-999.00,0,999.00,999.00,-3.23,-1.09,-0.89,41.49,39.11,37.15,89.88,89.99,89.83,89.78,89.73,89.57
0:02:30,2,0.98,114.8,7.70,8.62,0.00365,-1.9167,39.1233,89.88,-999.00,-999.00,0,999.00,999.00,-3.48,-1.25,-1.02,41.39,39.00,36.98,89.90,90.00,89.83,89.77,89.75,89.57
0:03:20,2,0.97,114.8,7.70,8.60,0.00486,-2.0933,39.0100,89.85,-999.00,-999.00,0,999.00,999.00,-3.72,-1.39,-1.17,41.26,38.93,36.84,89.86,89.99,89.83,89.76,89.72,89.55
0:04:11,2,0.98,114.8,7.70,8.58,0.00608,-2.2733,38.8833,89.87,-999.00,-999.00,0,999.00,999.00,-3.93,-1.58,-1.31,41.14,38.83,36.68,89.91,90.00,89.83,89.77,89.73,89.57
0:05:01,2,0.97,114.8,7.60,8.56,0.00728,-2.4667,38.7267,89.86,-999.00,-999.00,0,0.81,1.07,-4.17,-1.75,-1.48,41.00,38.67,36.51,89.91,90.00,89.83,89.78,89.72,89.57
0:05:51,2,0.98,114.8,7.60,8.54,0.00849,-2.6533,38.6033,89.85,-999.00,-999.00,0,0.94,1.26,-4.40,-1.93,-1.63,40.88,38.58,36.35,89.92,90.00,89.83,89.80,89.71,89.57
0:06:41,2,0.97,114.8,7.60,8.54,0.00961,-2.8367,38.4967,89.88,-999.00,-999.00,0,1.04,1.44,-4.61,-2.11,-1.79,40.78,38.50,36.21,89.92,90.00,89.83,89.83,89.75,89.57
0:07:31,2,0.97,114.8,7.60,8.52,0.01081,-3.0033,38.3400,89.90,-999.00,-999.00,0,1.20,1.61,-4.79,-2.27,-1.95,40.61,38.36,36.05,89.92,90.03,89.83,89.85,89.77,89.63
0:08:21,2,0.98,114.8,7.60,8.51,0.01201,-3.2100,38.2000,89.87,-999.00,-999.00,0,1.34,1.82,-5.04,-2.45,-2.14,40.50,38.23,35.87,89.92,90.00,89.83,89.86,89.74,89.63
0:09:12,2,0.98,114.8,7.60,8.48,0.01321,-3.3800,38.0567,89.88,-999.00,-999.00,0,1.48,1.97,-5.23,-2.63,-2.28,40.37,38.11,35.69,89.92,90.00,89.83,89.91,89.75,89.63
