0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FA MID,CA MID,Current Leakage (mA),RoomTemp,Humidity
0:00:00,1,0.04,115.1,0.30,0.01,0.00000,2.91,38.15,-999.00,-999.00,-999.00,0,2.91,38.15,0.00000,80.97,72.4,111.57
0:00:50,1,0.04,115.1,0.30,0.01,0.00001,3.72,38.67,-999.00,-999.00,-999.00,0,3.72,38.67,0,81.37,72.0,111.57
0:01:40,1,0.04,115.1,0.30,0.01,0.00002,4.15,38.83,-999.00,-999.00,-999.00,0,4.15,38.83,0,81.97,71.1,111.57
0:02:30,1,0.04,115.1,0.30,0.01,0.00002,4.54,38.95,-999.00,-999.00,-999.00,0,4.54,38.95,0,82.36,68.9,111.57
0:03:21,1,0.04,115.1,0.30,0.01,0.00002,4.84,39.09,-999.00,-999.00,-999.00,0,4.84,39.09,0,82.76,68.3,111.57
0:04:11,1,0.04,115.1,0.30,0.01,0.00002,5.13,39.25,-999.00,-999.00,-999.00,0,5.13,39.25,0.06475,83.16,68.4,111.57
0:05:01,1,0.04,115.1,0.30,0.01,0.00002,5.26,39.37,-999.00,-999.00,-999.00,0,5.26,39.37,0,83.35,68.8,111.57
0:05:52,1,0.04,115.1,0.30,0.01,0.00003,5.50,39.50,-999.00,-999.00,-999.00,0,5.50,39.50,0,83.75,69.1,111.57
0:06:42,1,0.04,115.1,0.30,0.01,0.00003,5.67,39.65,-999.00,-999.00,-999.00,0,5.67,39.65,0.06475,83.95,69.3,111.57
0:07:32,1,0.04,115.1,0.30,0.01,0.00003,5.84,39.80,-999.00,-999.00,-999.00,0,5.84,39.80,0,84.15,68.2,111.57
0:08:02,1,0.04,115.1,0.30,0.01,0.00003,5.99,39.86,-999.00,-999.00,-999.00,0,5.99,39.86,0.06475,84.15,67.6,111.57
0:08:02,1,0.04,115.1,0.30,0.01,0.00003,5.99,39.86,-999.00,-999.00,-999.00,0,5.99,39.86,0.06475,84.15,67.6,111.57
0:08:02,1,0.04,115.1,0.30,0.01,0.00003,5.99,39.86,-999.00,-999.00,-999.00,0,5.99,39.86,0.06475,84.15,67.6,111.57
0:08:08,1,0.44,115.1,0.80,0.01,0.00003,6.06,39.86,-999.00,-999.00,-999.00,0,6.06,39.86,0,84.15,67.6,111.57
