TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC11,TC12,TC13,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FF1,FF2,FF3,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:00,2,0.54,114.9,9.400,5.80,0.0000,-999.00,42.54,90.30,-999.00,-999.00,0.000000,42.02,40.02,45.58,90.1700,90.2000,90.2700,89.9800,90.4000,90.3700
0:00:51,2,0.54,114.8,9.400,5.78,0.0008,-999.00,42.54,90.30,-999.00,-999.00,0,42.02,40.02,45.58,90.1700,90.1700,90.2700,89.9600,90.4300,90.3700
0:01:41,2,0.54,114.9,9.400,5.78,0.0016,-999.00,42.55,90.32,-999.00,-999.00,0,42.02,40.04,45.58,90.1800,90.1800,90.2700,89.9500,90.4500,90.3700
0:02:31,2,0.53,114.8,9.400,5.77,0.0024,-999.00,42.54,90.31,-999.00,-999.00,0,42.03,40.01,45.58,90.1700,90.1700,90.2700,89.9400,90.4500,90.3700
0:03:21,2,0.53,114.8,9.400,5.76,0.0032,-999.00,42.57,90.31,-999.00,-999.00,0,42.06,40.06,45.58,90.1700,90.1700,90.2700,89.9400,90.4500,90.3700
0:04:12,2,0.53,114.8,9.500,5.78,0.0040,-999.00,42.56,90.31,-999.00,-999.00,0,42.06,40.05,45.58,90.1600,90.1700,90.2700,89.9300,90.4500,90.3300
0:05:02,2,0.53,114.8,9.500,5.78,0.0049,-999.00,42.56,90.31,-999.00,-999.00,0,42.06,40.05,45.58,90.1800,90.1700,90.2400,89.9300,90.4500,90.3400
0:05:52,2,0.53,114.8,9.400,5.77,0.0057,-999.00,42.57,90.31,-999.00,-999.00,0,42.07,40.06,45.58,90.1600,90.1700,90.2600,89.9300,90.4500,90.3100
0:06:42,2,0.54,114.8,9.400,5.78,0.0065,-999.00,42.56,90.30,-999.00,-999.00,0,42.06,40.05,45.57,90.1600,90.1700,90.2700,89.9300,90.4300,90.3400
0:07:32,2,0.54,114.8,9.400,5.81,0.0073,-999.00,42.54,90.29,-999.00,-999.00,0,42.04,40.03,45.56,90.1600,90.1700,90.2700,89.9300,90.4200,90.3300
0:08:23,2,0.54,114.9,9.400,5.83,0.0081,-999.00,42.56,90.29,-999.00,-999.00,0,42.07,40.03,45.58,90.1600,90.1800,90.2700,89.9300,90.4000,90.3100
0:09:13,2,0.54,114.8,9.400,5.85,0.0089,-999.00,42.57,90.29,-999.00,-999.00,0,42.07,40.06,45.58,90.1600,90.1700,90.2700,89.9300,90.4200,90.3100
0:10:03,2,0.54,114.8,9.500,5.92,0.0097,-999.00,42.57,90.29,-999.00,-999.00,0,42.07,40.06,45.58,90.1500,90.1700,90.2700,89.9300,90.4000,90.3100
0:10:53,2,0.54,114.8,9.400,5.84,0.0105,-999.00,42.57,90.29,-999.00,-999.00,0,42.06,40.06,45.58,90.1600,90.1800,90.2700,89.9300,90.4000,90.3600
0:11:43,2,0.54,114.8,9.400,5.85,0.0114,-999.00,42.57,90.29,-999.00,-999.00,0,42.07,40.06,45.58,90.1200,90.1700,90.2700,89.9300,90.4000,90.3100
0:12:34,2,0.54,114.8,9.500,5.93,0.0122,-999.00,42.56,90.29,-999.00,-999.00,0,42.06,40.05,45.58,90.1200,90.1700,90.2300,89.9200,90.4000,90.3100
0:13:24,2,0.54,114.8,9.400,5.87,0.0130,-999.00,42.54,90.29,-999.00,-999.00,0,42.04,40.03,45.56,90.1200,90.1700,90.2700,89.9300,90.4000,90.3100
0:14:14,2,0.54,114.8,9.400,5.84,0.0138,-999.00,42.54,90.28,-999.00,-999.00,0,42.03,40.03,45.56,90.1200,90.1700,90.2400,89.9400,90.3900,90.3100
0:15:05,2,0.54,114.8,9.500,5.90,0.0147,-999.00,42.54,90.28,-999.00,-999.00,0,42.03,40.03,45.56,90.1200,90.1700,90.2400,89.9300,90.3900,90.3200
0:15:55,2,0.54,114.8,9.400,5.81,0.0155,-999.00,42.56,90.27,-999.00,-999.00,0,42.05,40.05,45.57,90.0900,90.1700,90.2200,89.9200,90.3800,90.3200
0:16:45,2,0.55,114.8,9.500,5.95,0.0163,-999.00,42.54,90.29,-999.00,-999.00,0,42.03,40.03,45.55,90.1000,90.1700,90.2200,89.9300,90.4000,90.3400
0:17:36,2,0.54,114.8,9.400,5.82,0.0171,-999.00,42.54,90.27,-999.00,-999.00,0,42.03,40.03,45.56,90.0900,90.1700,90.2200,89.9300,90.3800,90.3100
0:18:26,2,0.54,114.8,9.400,5.83,0.0180,-999.00,42.54,90.28,-999.00,-999.00,0,42.04,40.03,45.56,90.1100,90.1700,90.2500,89.9600,90.3900,90.3100
0:19:17,2,0.54,114.9,9.400,5.80,0.0187,-999.00,42.57,90.27,-999.00,-999.00,0,42.08,40.06,45.58,90.1000,90.1700,90.2200,89.9300,90.3700,90.3300
0:20:07,2,0.54,114.9,9.500,5.85,0.0196,-999.00,42.53,90.27,-999.00,-999.00,0,42.03,40.02,45.55,90.1100,90.1700,90.2200,89.9400,90.3800,90.3300
0:20:57,2,0.54,114.9,9.400,5.82,0.0204,-999.00,42.53,90.27,-999.00,-999.00,0,42.02,40.01,45.55,90.1200,90.1700,90.2300,89.9400,90.3700,90.3200
0:21:47,2,0.54,114.9,9.400,5.82,0.0212,-999.00,42.55,90.27,-999.00,-999.00,0,42.04,40.03,45.57,90.1100,90.1700,90.2200,89.9300,90.3800,90.3500
0:22:38,2,0.53,114.8,9.500,5.81,0.0220,-999.00,42.53,90.29,-999.00,-999.00,0,42.02,40.01,45.55,90.1100,90.1800,90.2200,89.9300,90.3900,90.3700
0:23:28,2,0.54,114.8,9.400,5.82,0.0228,-999.00,42.53,90.28,-999.00,-999.00,0,42.02,40.01,45.55,90.0900,90.1800,90.2200,89.9400,90.3700,90.3100
0:24:18,2,0.54,114.8,9.400,5.80,0.0237,-999.00,42.55,90.29,-999.00,-999.00,0,42.04,40.04,45.57,90.1100,90.2100,90.2200,89.9400,90.3700,90.3100
0:25:08,2,0.54,114.8,9.400,5.82,0.0245,-999.00,42.57,90.29,-999.00,-999.00,0,42.05,40.06,45.60,90.1100,90.2200,90.2200,89.9400,90.3700,90.3700
0:25:59,2,0.54,114.7,9.400,5.81,0.0253,-999.00,42.55,90.30,-999.00,-999.00,0,42.05,40.04,45.57,90.1100,90.2200,90.2500,89.9400,90.3800,90.3700
