0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FA MID,CA MID,Current Leakage (mA),RoomTemp,Humidity
0:00:00,1,0.04,115.2,0.30,0.01,0.00000,-1.64,36.29,-999.00,-999.00,-999.00,0,-1.64,36.29,0.00000,109.92,22.5,111.57
0:00:51,1,0.04,115.2,0.30,0.01,0.00001,1.72,37.24,-999.00,-999.00,-999.00,0,1.72,37.24,0,109.92,22.5,111.57
0:01:41,1,0.04,115.1,0.30,0.01,0.00002,1.88,37.54,-999.00,-999.00,-999.00,0,1.88,37.54,0,109.92,22.4,111.57
0:02:31,1,0.04,115.1,0.30,0.01,0.00002,1.56,37.82,-999.00,-999.00,-999.00,0,1.56,37.82,0.06475,109.92,22.3,111.57
0:03:21,1,0.04,115.2,0.30,0.01,0.00002,1.86,38.09,-999.00,-999.00,-999.00,0,1.86,38.09,0,109.92,22.3,111.57
0:04:11,1,0.04,115.1,0.30,0.01,0.00002,2.09,38.36,-999.00,-999.00,-999.00,0,2.09,38.36,0,109.92,22.3,111.57
0:05:01,1,0.04,115.1,0.30,0.01,0.00002,2.45,38.57,-999.00,-999.00,-999.00,0,2.45,38.57,0,109.92,22.3,111.57
0:05:52,1,0.04,115.1,0.30,0.01,0.00003,2.66,38.83,-999.00,-999.00,-999.00,0,2.66,38.83,0,109.92,22.3,111.57
0:06:42,1,0.04,115.1,0.30,0.01,0.00003,2.97,39.09,-999.00,-999.00,-999.00,0,2.97,39.09,0,109.92,22.3,111.57
0:07:32,1,0.04,115.1,0.30,0.01,0.00003,3.25,39.30,-999.00,-999.00,-999.00,0,3.25,39.30,0,109.92,22.3,111.57
0:08:02,1,0.04,115.1,0.30,0.01,0.00003,3.44,39.47,-999.00,-999.00,-999.00,0,3.44,39.47,0.06475,109.92,22.3,111.57
0:08:02,1,0.04,115.1,0.30,0.01,0.00003,3.44,39.47,-999.00,-999.00,-999.00,0,3.44,39.47,0.06475,109.92,22.3,111.57
0:08:02,1,0.04,115.1,0.30,0.01,0.00003,3.44,39.47,-999.00,-999.00,-999.00,0,3.44,39.47,0.06475,109.92,22.3,111.57
0:08:08,1,0.44,115.1,0.80,0.01,0.00003,3.44,39.46,-999.00,-999.00,-999.00,0,3.44,39.46,0.06475,109.92,22.3,111.57
0:08:08,1,0.44,115.1,0.80,0.01,0.00003,3.44,39.46,-999.00,-999.00,-999.00,0,3.44,39.46,0.06475,109.92,22.3,111.57
0:08:08,1,0.44,115.1,0.80,0.01,0.00003,3.44,39.46,-999.00,-999.00,-999.00,0,3.44,39.46,0.06475,109.92,22.3,111.57
0:08:17,2,0.98,114.9,10.20,11.49,0.00035,3.67,39.88,-999.00,-999.00,-999.00,0,3.67,39.88,0.06475,109.92,22.3,111.57
0:08:29,2,0.98,114.9,10.20,11.49,0.00035,3.67,39.88,-999.00,-999.00,-999.00,0,3.67,39.88,0.06475,109.92,22.3,111.57
0:08:29,2,0.98,114.9,10.20,11.49,0.00035,3.67,39.88,-999.00,-999.00,-999.00,0,3.67,39.88,0.06475,109.92,22.3,111.57
0:09:20,2,0.98,115.2,10.10,11.39,0.00200,3.49,40.38,-999.00,-999.00,-999.00,0,3.49,40.38,0.06475,109.92,22.3,111.57
0:10:10,2,0.98,114.8,9.50,10.63,0.00353,3.84,40.55,-999.00,-999.00,-999.00,0,3.84,40.55,0.06475,109.92,22.3,111.57
0:11:00,2,0.98,114.7,9.60,10.78,0.00503,4.21,40.70,-999.00,-999.00,-999.00,0,4.21,40.70,0.06475,109.92,22.3,111.57
0:11:50,2,0.98,115.2,9.60,10.77,0.00655,4.29,40.69,-999.00,-999.00,-999.00,0,4.29,40.69,0.06475,109.92,22.3,111.57
0:12:41,2,0.98,115.2,9.50,10.77,0.00806,4.51,40.62,-999.00,-999.00,-999.00,0,4.51,40.62,0.06475,109.92,22.3,111.57
0:13:31,2,0.98,115.2,9.60,10.80,0.00959,4.62,40.55,-999.00,-999.00,-999.00,0,4.62,40.55,0.06475,109.92,22.3,111.57
0:14:21,2,0.98,115.2,9.50,10.74,0.01110,4.69,40.38,-999.00,-999.00,-999.00,0,4.69,40.38,0.06475,109.92,22.3,111.57
0:15:12,2,0.98,114.8,9.50,10.64,0.01250,4.84,40.24,-999.00,-999.00,-999.00,0,4.84,40.24,0.06475,109.92,22.3,111.57
0:16:02,2,0.98,114.8,9.50,10.62,0.01401,4.78,40.23,-999.00,-999.00,-999.00,0,4.78,40.23,0.06475,109.92,22.3,111.57
0:16:04,2,0.98,114.8,9.40,10.61,0.01410,4.78,40.24,-999.00,-999.00,-999.00,0,4.78,40.24,0.06475,109.92,22.3,111.57
0:16:04,2,0.98,114.8,9.40,10.61,0.01410,4.78,40.24,-999.00,-999.00,-999.00,0,4.78,40.24,0.06475,109.92,22.3,111.57
0:16:04,2,0.98,114.8,9.40,10.61,0.01410,4.78,40.24,-999.00,-999.00,-999.00,0,4.78,40.24,0.06475,109.92,22.3,111.57
