0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,CABVARIATION,FRZVARIATION,TC1,TC2,TC3,TC11,TC12,TC13,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Cab,Ambient,Frez Door,Cab Door,Def/Rec Time,CabVariation,FrzVariation,FC1,FC2,FC3,FF1,FF2,FF3,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:01,2,0.97,115.0,7.70,8.60,0.83811,-0.8033,42.2767,89.57,-999.00,-999.00,0.000000,0.000000,0.000000,-2.22,-0.23,0.04,44.89,42.47,39.47,89.64,89.81,89.79,89.46,89.33,89.56
0:00:50,2,0.98,115.0,7.70,8.59,0.00121,-0.9433,42.2033,89.56,-999.00,-999.00,0,999.00,999.00,-2.38,-0.36,-0.09,44.81,42.42,39.38,89.64,89.78,89.79,89.46,89.33,89.57
0:01:40,2,0.98,114.9,7.70,8.58,0.00242,-1.1167,42.0600,89.56,-999.00,-999.00,0,999.00,999.00,-2.59,-0.53,-0.23,44.69,42.31,39.18,89.64,89.79,89.79,89.46,89.33,89.57
0:02:30,2,0.97,115.0,7.70,8.57,0.00363,-1.2733,41.9367,89.58,-999.00,-999.00,0,999.00,999.00,-2.78,-0.67,-0.37,44.58,42.21,39.02,89.64,89.78,89.79,89.47,89.38,89.59
0:03:21,2,0.97,115.0,7.60,8.53,0.00484,-1.4500,41.8033,89.57,-999.00,-999.00,0,999.00,999.00,-2.97,-0.83,-0.55,44.46,42.08,38.87,89.65,89.78,89.78,89.47,89.37,89.61
0:04:11,2,0.97,115.0,7.60,8.53,0.00596,-1.6167,41.7000,89.57,-999.00,-999.00,0,999.00,999.00,-3.14,-0.99,-0.72,44.40,42.01,38.69,89.64,89.77,89.78,89.48,89.38,89.63
0:05:02,2,0.97,115.0,7.60,8.52,0.00716,-1.8033,41.5467,89.55,-999.00,-999.00,0,0.73,1.00,-3.36,-1.18,-0.87,44.26,41.87,38.51,89.64,89.72,89.77,89.46,89.38,89.64
0:05:52,2,0.97,115.0,7.60,8.50,0.00836,-1.9567,41.4400,89.57,-999.00,-999.00,0,0.84,1.15,-3.49,-1.35,-1.03,44.15,41.79,38.38,89.69,89.77,89.78,89.48,89.38,89.64
0:06:42,2,0.97,115.0,7.60,8.49,0.00956,-2.1333,41.2933,89.58,-999.00,-999.00,0,0.98,1.33,-3.70,-1.52,-1.18,44.02,41.66,38.20,89.69,89.79,89.78,89.48,89.38,89.64
0:07:32,2,0.97,115.0,7.60,8.48,0.01076,-2.3033,41.1233,89.60,-999.00,-999.00,0,1.15,1.50,-3.87,-1.66,-1.38,43.87,41.51,37.99,89.73,89.81,89.79,89.49,89.38,89.65
0:08:22,2,0.97,115.0,7.60,8.47,0.01195,-2.4567,40.9733,89.61,-999.00,-999.00,0,1.30,1.65,-4.03,-1.82,-1.52,43.74,41.38,37.80,89.72,89.82,89.81,89.51,89.40,89.68
0:09:12,2,0.97,115.0,7.50,8.45,0.01314,-2.6467,40.8400,89.60,-999.00,-999.00,0,1.44,1.84,-4.24,-2.02,-1.68,43.61,41.27,37.64,89.74,89.80,89.77,89.50,89.39,89.69
0:10:03,2,0.97,115.0,7.50,8.43,0.01434,-2.7833,40.6933,89.63,-999.00,-999.00,0,0.86,0.98,-4.39,-2.14,-1.82,43.46,41.13,37.49,89.77,89.85,89.84,89.54,89.41,89.70
0:10:53,2,0.97,115.0,7.50,8.43,0.01552,-2.9400,40.5367,89.64,-999.00,-999.00,0,1.01,1.14,-4.55,-2.29,-1.98,43.32,40.99,37.30,89.73,89.86,89.79,89.49,89.41,89.71
0:11:44,2,0.97,115.0,7.50,8.40,0.01671,-3.1067,40.3833,89.64,-999.00,-999.00,0,1.17,1.30,-4.73,-2.46,-2.13,43.19,40.85,37.11,89.78,89.86,89.81,89.49,89.41,89.72
0:12:34,2,0.97,115.0,7.50,8.41,0.01790,-3.2800,40.2100,89.67,-999.00,-999.00,0,1.34,1.48,-4.88,-2.65,-2.31,43.00,40.72,36.91,89.79,89.89,89.83,89.53,89.45,89.72
0:13:24,2,0.97,115.0,7.50,8.39,0.01908,-3.4200,40.0667,89.69,-999.00,-999.00,0,1.48,1.62,-5.02,-2.79,-2.45,42.87,40.58,36.75,89.81,89.92,89.85,89.50,89.46,89.72
0:14:15,2,0.97,114.9,7.50,8.38,0.02026,-3.5700,39.8967,89.69,-999.00,-999.00,0,1.65,1.77,-5.18,-2.92,-2.61,42.72,40.42,36.55,89.84,89.92,89.85,89.55,89.47,89.72
0:15:06,2,0.97,114.9,7.50,8.38,0.02144,-3.7167,39.7533,89.69,-999.00,-999.00,0,0.94,0.93,-5.31,-3.08,-2.76,42.59,40.30,36.37,89.84,89.92,89.88,89.55,89.47,89.72
0:15:56,2,0.97,114.9,7.50,8.37,0.02255,-3.8700,39.5800,89.71,-999.00,-999.00,0,1.11,1.09,-5.46,-3.24,-2.91,42.43,40.11,36.20,89.86,89.94,89.88,89.55,89.47,89.77
0:16:46,2,0.97,114.9,7.50,8.35,0.02372,-4.0333,39.4033,89.70,-999.00,-999.00,0,1.29,1.25,-5.63,-3.39,-3.08,42.28,39.96,35.97,89.86,89.93,89.90,89.55,89.47,89.73
0:17:37,2,0.97,115.0,7.50,8.35,0.02490,-4.1900,39.2500,89.71,-999.00,-999.00,0,1.44,1.41,-5.77,-3.55,-3.25,42.14,39.82,35.79,89.92,89.96,89.93,89.55,89.47,89.75
0:18:27,2,0.97,115.0,7.40,8.32,0.02607,-4.3667,39.0633,89.74,-999.00,-999.00,0,1.63,1.58,-5.94,-3.74,-3.42,41.96,39.63,35.60,89.92,90.00,89.93,89.56,89.48,89.78
0:19:18,2,0.97,115.0,7.40,8.32,0.02725,-4.4800,38.9200,89.74,-999.00,-999.00,0,1.77,1.70,-6.04,-3.86,-3.54,41.81,39.52,35.43,89.92,89.99,89.93,89.57,89.49,89.78
0:20:08,2,0.97,115.0,7.40,8.30,0.02842,-4.6400,38.7533,89.74,-999.00,-999.00,0,1.02,0.93,-6.19,-4.00,-3.73,41.68,39.35,35.23,89.92,90.00,89.99,89.57,89.49,89.78
0:20:58,2,0.97,115.0,7.40,8.29,0.02959,-4.7400,38.5833,89.75,-999.00,-999.00,0,1.20,1.05,-6.29,-4.14,-3.79,41.48,39.22,35.05,89.93,90.00,89.98,89.57,89.50,89.81
0:21:49,2,0.97,115.0,7.40,8.29,0.03076,-4.9133,38.4200,89.76,-999.00,-999.00,0,1.36,1.22,-6.43,-4.31,-4.00,41.35,39.03,34.88,89.93,90.00,89.98,89.57,89.52,89.81
0:22:39,2,0.97,115.0,7.40,8.27,0.03193,-5.0167,38.2833,89.75,-999.00,-999.00,0,1.50,1.32,-6.56,-4.39,-4.10,41.20,38.92,34.73,89.90,90.00,89.98,89.57,89.50,89.80
0:23:29,2,0.97,115.0,7.40,8.25,0.03309,-5.1767,38.1000,89.74,-999.00,-999.00,0,1.68,1.48,-6.70,-4.57,-4.26,41.04,38.74,34.52,89.89,89.97,89.96,89.58,89.50,89.80
0:24:19,2,0.97,115.1,7.40,8.26,0.03426,-5.2667,37.9500,89.78,-999.00,-999.00,0,1.83,1.57,-6.76,-4.68,-4.36,40.86,38.63,34.36,89.92,90.00,89.99,89.63,89.55,89.81
0:25:09,2,0.97,115.0,7.40,8.25,0.03542,-5.4267,37.7667,89.76,-999.00,-999.00,0,1.01,0.82,-6.93,-4.84,-4.51,40.71,38.44,34.15,89.88,90.01,89.96,89.58,89.51,89.82
0:25:59,2,0.97,115.0,7.40,8.23,0.03650,-5.5500,37.6133,89.76,-999.00,-999.00,0,1.16,0.94,-7.03,-4.96,-4.66,40.58,38.27,33.99,89.88,90.00,89.99,89.57,89.51,89.80
0:26:50,2,0.97,115.0,7.30,8.22,0.03766,-5.6900,37.4333,89.77,-999.00,-999.00,0,1.34,1.07,-7.17,-5.10,-4.80,40.38,38.13,33.79,89.90,90.01,90.00,89.61,89.53,89.84
0:27:40,2,0.97,115.0,7.30,8.21,0.03882,-5.7933,37.2767,89.77,-999.00,-999.00,0,1.48,1.17,-7.25,-5.23,-4.90,40.22,37.96,33.65,89.90,90.01,90.00,89.61,89.53,89.84
0:28:30,2,0.97,115.0,7.30,8.21,0.03998,-5.9133,37.1100,89.78,-999.00,-999.00,0,1.66,1.30,-7.38,-5.34,-5.02,40.06,37.81,33.46,89.92,90.01,90.04,89.57,89.54,89.84
0:28:36,1,0.03,115.2,0.30,0.01,0.04014,-5.9600,37.0800,89.79,-999.00,-999.00,0,1.69,1.33,-7.42,-5.39,-5.07,40.03,37.79,33.42,89.92,90.02,90.02,89.61,89.55,89.85
0:28:42,1,0.03,115.2,0.30,0.01,0.04014,-5.9600,37.0800,89.79,-999.00,-999.00,0,1.69,1.33,-7.42,-5.39,-5.07,40.03,37.79,33.42,89.92,90.02,90.02,89.61,89.55,89.85
0:28:42,1,0.03,115.2,0.30,0.01,0.04014,-5.9600,37.0800,89.79,-999.00,-999.00,0,1.69,1.33,-7.42,-5.39,-5.07,40.03,37.79,33.42,89.92,90.02,90.02,89.61,89.55,89.85
0:29:32,1,0.03,115.2,0.30,0.01,0.04014,-5.9833,37.0533,89.78,-999.00,-999.00,0,1.71,1.34,-7.41,-5.42,-5.12,39.97,37.74,33.45,89.91,90.01,90.01,89.61,89.54,89.86
0:30:22,1,0.03,115.2,0.30,0.01,0.04014,-5.9667,37.0933,89.74,-999.00,-999.00,0,0.70,0.55,-7.33,-5.45,-5.12,39.97,37.78,33.53,89.88,89.97,90.00,89.56,89.51,89.83
0:31:12,1,0.03,115.2,0.30,0.01,0.04014,-5.9500,37.1400,89.74,-999.00,-999.00,0,0.65,0.53,-7.27,-5.44,-5.14,39.99,37.78,33.65,89.88,89.96,89.99,89.56,89.51,89.83
0:32:02,1,0.03,115.1,0.30,0.01,0.04015,-5.9200,37.1867,89.74,-999.00,-999.00,0,0.61,0.50,-7.19,-5.45,-5.12,40.03,37.80,33.73,89.89,89.96,89.99,89.56,89.51,89.83
0:32:52,1,0.03,115.2,0.30,0.01,0.04015,-5.8800,37.2400,89.74,-999.00,-999.00,0,0.55,0.46,-7.08,-5.43,-5.13,40.05,37.81,33.86,89.86,89.97,89.97,89.56,89.52,89.84
