0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FA MID,CA MID,Current Leakage (mA),RoomTemp,Humidity
0:00:00,1,0.04,115.1,0.30,0.01,0.00000,-0.64,38.29,-999.00,-999.00,-999.00,0,-0.64,38.29,0.00000,79.18,89.3,111.57
0:00:50,1,0.04,115.1,0.30,0.01,0.00001,1.40,38.92,-999.00,-999.00,-999.00,0,1.40,38.92,0.06475,79.18,89.9,111.57
0:01:40,1,0.04,115.0,0.30,0.01,0.00001,2.03,39.11,-999.00,-999.00,-999.00,0,2.03,39.11,0,78.98,89.6,111.57
0:02:30,1,0.04,115.1,0.30,0.01,0.00002,2.30,39.34,-999.00,-999.00,-999.00,0,2.30,39.34,0.06475,78.98,89.4,111.57
0:03:20,1,0.04,115.1,0.30,0.01,0.00002,2.51,39.52,-999.00,-999.00,-999.00,0,2.51,39.52,0,78.78,89.6,111.57
0:04:10,1,0.04,115.1,0.30,0.01,0.00002,2.87,39.74,-999.00,-999.00,-999.00,0,2.87,39.74,0,78.78,91.5,111.57
0:05:00,1,0.04,115.2,0.30,0.01,0.00002,3.05,39.91,-999.00,-999.00,-999.00,0,3.05,39.91,0,78.78,90.2,111.57
0:05:51,1,0.04,115.1,0.30,0.01,0.00002,3.26,40.11,-999.00,-999.00,-999.00,0,3.26,40.11,0,78.78,90.1,111.57
0:06:41,1,0.04,115.1,0.30,0.01,0.00003,3.06,40.27,-999.00,-999.00,-999.00,0,3.06,40.27,0,78.78,90.0,111.57
0:07:31,1,0.04,115.1,0.30,0.01,0.00003,3.18,40.45,-999.00,-999.00,-999.00,0,3.18,40.45,0,78.58,89.9,111.57
0:08:02,1,0.04,115.1,0.30,0.01,0.00003,3.29,40.58,-999.00,-999.00,-999.00,0,3.29,40.58,0,78.58,89.8,111.57
0:08:02,1,0.04,115.1,0.30,0.01,0.00003,3.29,40.58,-999.00,-999.00,-999.00,0,3.29,40.58,0,78.58,89.8,111.57
0:08:02,1,0.04,115.1,0.30,0.01,0.00003,3.29,40.58,-999.00,-999.00,-999.00,0,3.29,40.58,0,78.58,89.8,111.57
0:08:08,1,0.43,115.1,0.80,0.01,0.00003,3.59,40.56,-999.00,-999.00,-999.00,0,3.59,40.56,0,78.58,89.8,111.57
