0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FA MID,CA MID,Current Leakage (mA),RoomTemp,Humidity
0:00:00,1,0.04,115.2,0.30,0.01,0.00000,-1.24,37.52,-999.00,-999.00,-999.00,0,-1.24,37.52,0.06475,80.97,72.1,111.57
0:00:50,1,0.04,115.2,0.30,0.01,0.00001,0.05,38.13,-999.00,-999.00,-999.00,0,0.05,38.13,0.06475,81.57,71.7,111.57
0:01:40,1,0.04,115.2,0.30,0.01,0.00001,0.38,38.28,-999.00,-999.00,-999.00,0,0.38,38.28,0,82.16,70.7,111.57
0:02:30,1,0.04,115.2,0.30,0.01,0.00002,0.68,38.43,-999.00,-999.00,-999.00,0,0.68,38.43,0,82.36,69.0,111.57
0:03:21,1,0.04,115.2,0.30,0.01,0.00002,1.28,38.57,-999.00,-999.00,-999.00,0,1.28,38.57,0.06475,82.76,67.8,111.57
0:04:11,1,0.04,115.2,0.30,0.01,0.00002,1.80,38.71,-999.00,-999.00,-999.00,0,1.80,38.71,0.06475,82.96,67.3,111.57
0:05:01,1,0.04,115.2,0.30,0.01,0.00002,2.05,38.84,-999.00,-999.00,-999.00,0,2.05,38.84,0.06475,83.35,67.4,111.57
0:05:52,1,0.04,115.2,0.30,0.01,0.00003,2.24,38.98,-999.00,-999.00,-999.00,0,2.24,38.98,0,83.55,67.9,111.57
0:06:42,1,0.04,115.2,0.30,0.01,0.00003,2.48,39.12,-999.00,-999.00,-999.00,0,2.48,39.12,0,83.95,68.0,111.57
0:07:32,1,0.04,115.2,0.30,0.01,0.00003,2.60,39.23,-999.00,-999.00,-999.00,0,2.60,39.23,0,84.15,66.7,111.57
0:08:02,1,0.04,115.2,0.30,0.01,0.00003,2.76,39.28,-999.00,-999.00,-999.00,0,2.76,39.28,0.06475,84.35,65.9,111.57
0:08:02,1,0.04,115.2,0.30,0.01,0.00003,2.76,39.28,-999.00,-999.00,-999.00,0,2.76,39.28,0.06475,84.35,65.9,111.57
0:08:02,1,0.04,115.2,0.30,0.01,0.00003,2.76,39.28,-999.00,-999.00,-999.00,0,2.76,39.28,0.06475,84.35,65.9,111.57
0:08:08,1,0.43,115.2,0.80,0.01,0.00003,3.03,39.30,-999.00,-999.00,-999.00,0,3.03,39.30,0.06475,84.35,65.9,111.57
0:08:08,1,0.43,115.2,0.80,0.01,0.00003,3.03,39.30,-999.00,-999.00,-999.00,0,3.03,39.30,0.06475,84.35,65.9,111.57
0:08:08,1,0.43,115.2,0.80,0.01,0.00003,3.03,39.30,-999.00,-999.00,-999.00,0,3.03,39.30,0.06475,84.35,65.9,111.57
0:08:58,1,0.04,115.2,0.30,0.01,0.00004,3.26,39.85,-999.00,-999.00,-999.00,0,3.26,39.85,0,84.54,66.1,111.57
0:09:48,1,0.04,115.1,0.30,0.01,0.00005,3.50,40.11,-999.00,-999.00,-999.00,0,3.50,40.11,0,84.74,66.9,111.57
0:10:17,2,0.98,115.0,9.50,10.68,0.00032,3.88,40.25,-999.00,-999.00,-999.00,0,3.88,40.25,0.06475,84.74,67.0,111.57
0:10:23,2,0.98,115.0,9.50,10.68,0.00032,3.88,40.25,-999.00,-999.00,-999.00,0,3.88,40.25,0.06475,84.74,67.0,111.57
0:10:23,2,0.98,115.0,9.50,10.68,0.00032,3.88,40.25,-999.00,-999.00,-999.00,0,3.88,40.25,0.06475,84.74,67.0,111.57
0:11:13,2,0.97,114.8,8.70,9.79,0.00177,3.51,40.38,-999.00,-999.00,-999.00,0,3.51,40.38,0.06475,84.94,67.5,111.57
0:12:03,2,0.97,114.9,8.40,9.29,0.00310,3.71,40.43,-999.00,-999.00,-999.00,0,3.71,40.43,0.06475,85.14,67.5,111.57
0:12:54,2,0.97,114.9,8.30,9.23,0.00440,3.85,40.53,-999.00,-999.00,-999.00,0,3.85,40.53,0.06475,85.34,65.7,111.57
0:13:44,2,0.97,114.9,8.20,9.18,0.00570,3.96,40.52,-999.00,-999.00,-999.00,0,3.96,40.52,0.06475,85.54,65.4,111.57
0:14:34,2,0.97,114.9,8.20,9.20,0.00700,3.95,40.46,-999.00,-999.00,-999.00,0,3.95,40.46,0.06475,85.54,65.9,111.57
0:15:24,2,0.97,114.9,8.20,9.20,0.00829,3.84,40.42,-999.00,-999.00,-999.00,0,3.84,40.42,0.06475,85.73,66.6,111.57
0:16:04,2,0.97,114.9,8.30,9.21,0.00925,3.82,40.38,-999.00,-999.00,-999.00,0,3.82,40.38,0.06475,85.93,66.9,111.57
0:16:04,2,0.97,114.9,8.30,9.21,0.00925,3.82,40.38,-999.00,-999.00,-999.00,0,3.82,40.38,0.06475,85.93,66.9,111.57
