0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FA MID,CA MID,Current Leakage (mA),RoomTemp,Humidity
0:00:00,1,0.04,115.2,0.30,0.01,0.00000,4.55,40.03,-999.00,-999.00,-999.00,0,4.55,40.03,0.00000,106.56,17.3,111.57
0:00:51,1,0.04,115.1,0.30,0.01,0.00001,5.98,40.49,-999.00,-999.00,-999.00,0,5.98,40.49,0.06475,106.75,17.3,111.57
0:00:55,2,0.98,114.9,10.20,11.44,0.00030,5.99,40.49,-999.00,-999.00,-999.00,0,5.99,40.49,0.06475,106.75,17.2,111.57
0:01:03,2,0.98,114.9,10.20,11.44,0.00030,5.99,40.49,-999.00,-999.00,-999.00,0,5.99,40.49,0.06475,106.75,17.2,111.57
0:01:03,2,0.98,114.9,10.20,11.44,0.00030,5.99,40.49,-999.00,-999.00,-999.00,0,5.99,40.49,0.06475,106.75,17.2,111.57
0:01:53,2,0.98,115.2,9.70,11.04,0.00192,6.63,40.65,-999.00,-999.00,-999.00,0,6.63,40.65,0.06475,106.75,17.1,111.57
0:02:44,2,0.98,115.2,9.40,10.54,0.00342,7.13,40.66,-999.00,-999.00,-999.00,0,7.13,40.66,0.06475,106.95,17.0,111.57
0:03:34,2,0.98,115.2,9.40,10.60,0.00490,7.41,40.68,-999.00,-999.00,-999.00,0,7.41,40.68,0.06475,106.95,17.0,111.57
0:04:24,2,0.98,115.2,9.50,10.65,0.00640,7.41,40.68,-999.00,-999.00,-999.00,0,7.41,40.68,0.06475,107.15,17.0,111.57
0:05:14,2,0.98,115.2,9.40,10.55,0.00789,7.51,40.68,-999.00,-999.00,-999.00,0,7.51,40.68,0.06475,107.15,17.0,111.57
0:06:04,2,0.98,115.2,9.30,10.48,0.00937,7.46,40.67,-999.00,-999.00,-999.00,0,7.46,40.67,0.06475,107.35,17.0,111.57
0:06:54,2,0.98,115.2,9.30,10.44,0.01084,7.55,40.66,-999.00,-999.00,-999.00,0,7.55,40.66,0.06475,107.35,17.0,111.57
0:07:45,2,0.98,115.2,9.20,10.39,0.01231,7.37,40.66,-999.00,-999.00,-999.00,0,7.37,40.66,0.06475,107.55,17.0,111.57
0:08:02,2,0.98,115.2,9.20,10.38,0.01270,7.22,40.60,-999.00,-999.00,-999.00,0,7.22,40.60,0.06475,107.55,17.0,111.57
0:08:02,2,0.98,115.2,9.20,10.38,0.01270,7.22,40.60,-999.00,-999.00,-999.00,0,7.22,40.60,0.06475,107.55,17.0,111.57
0:08:02,2,0.98,115.2,9.20,10.38,0.01270,7.22,40.60,-999.00,-999.00,-999.00,0,7.22,40.60,0.06475,107.55,17.0,111.57
0:08:08,2,0.98,115.2,9.50,10.36,0.01289,7.19,40.60,-999.00,-999.00,-999.00,0,7.19,40.60,0.06475,107.55,17.0,111.57
0:08:08,2,0.98,115.2,9.50,10.36,0.01289,7.19,40.60,-999.00,-999.00,-999.00,0,7.19,40.60,0.06475,107.55,17.0,111.57
0:08:08,2,0.98,115.2,9.50,10.36,0.01289,7.19,40.60,-999.00,-999.00,-999.00,0,7.19,40.60,0.06475,107.55,17.0,111.57
0:08:58,2,0.98,115.2,9.40,10.57,0.01438,7.09,41.07,-999.00,-999.00,-999.00,0,7.09,41.07,0.06475,107.55,17.0,111.57
