0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,CABVARIATION,FRZVARIATION,TC1,TC2,TC3,TC11,TC12,TC13,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Cab,Ambient,Frez Door,Cab Door,Def/Rec Time,CabVariation,FrzVariation,FC1,FC2,FC3,FF1,FF2,FF3,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:01,1,0.04,115.2,0.30,0.01,0.78917,2.8467,38.9367,89.71,-999.00,-999.00,0.000000,0.000000,0.000000,0.35,3.95,4.24,40.40,39.08,37.33,89.38,89.54,89.88,90.06,89.88,89.90
0:00:51,1,0.04,115.2,0.30,0.01,0.00000,2.9233,39.0433,89.68,-999.00,-999.00,0,999.00,999.00,0.55,3.98,4.24,40.48,39.19,37.46,89.36,89.51,89.88,90.03,89.85,89.87
0:00:53,2,0.98,115.0,9.10,10.24,0.00027,2.9467,39.0667,89.65,-999.00,-999.00,0,999.00,999.00,0.60,4.00,4.24,40.49,39.22,37.49,89.33,89.47,89.85,90.00,89.82,89.89
0:01:00,2,0.98,115.0,9.10,10.24,0.00027,2.9467,39.0667,89.65,-999.00,-999.00,0,999.00,999.00,0.60,4.00,4.24,40.49,39.22,37.49,89.33,89.47,89.85,90.00,89.82,89.89
0:01:00,2,0.98,115.0,9.10,10.24,0.00027,2.9467,39.0667,89.65,-999.00,-999.00,0,999.00,999.00,0.60,4.00,4.24,40.49,39.22,37.49,89.33,89.47,89.85,90.00,89.82,89.89
0:01:50,2,0.98,114.8,8.60,9.67,0.00168,3.3333,39.1567,89.65,-999.00,-999.00,0,999.00,999.00,1.43,4.19,4.38,40.59,39.28,37.60,89.36,89.48,89.87,90.01,89.83,89.90
0:02:41,2,0.97,114.9,7.80,8.68,0.00294,3.5333,39.1633,89.66,-999.00,-999.00,0,999.00,999.00,1.80,4.31,4.49,40.59,39.30,37.60,89.34,89.48,89.88,90.05,89.84,89.90
0:03:31,2,0.98,114.9,7.90,8.85,0.00418,3.5400,39.1567,89.68,-999.00,-999.00,0,999.00,999.00,1.81,4.32,4.49,40.60,39.28,37.59,89.38,89.50,89.88,90.06,89.87,89.90
0:04:21,2,0.98,114.8,7.90,8.89,0.00543,3.4367,39.1133,89.69,-999.00,-999.00,0,999.00,999.00,1.57,4.31,4.43,40.54,39.28,37.52,89.38,89.51,89.88,90.06,89.88,89.90
0:05:11,2,0.98,114.8,7.90,8.90,0.00668,3.3167,39.0733,89.69,-999.00,-999.00,0,0.14,0.51,1.32,4.25,4.38,40.54,39.22,37.46,89.38,89.52,89.92,90.06,89.87,89.92
0:06:02,2,0.98,114.9,7.90,8.81,0.00793,3.1333,39.0100,89.71,-999.00,-999.00,0,0.07,0.33,0.99,4.13,4.28,40.48,39.20,37.35,89.38,89.54,89.92,90.08,89.88,89.92
0:06:52,2,0.98,114.9,7.80,8.79,0.00909,2.9433,38.9433,89.70,-999.00,-999.00,0,0.01,0.14,0.63,4.03,4.17,40.42,39.12,37.29,89.37,89.53,89.92,90.07,89.87,89.94
0:07:42,2,0.98,114.8,7.90,8.82,0.01033,2.7700,38.8767,89.71,-999.00,-999.00,0,0.06,0.03,0.32,3.93,4.06,40.36,39.08,37.19,89.38,89.54,89.93,90.08,89.88,89.94
0:08:32,2,0.97,114.9,7.80,8.73,0.01157,2.5767,38.7933,89.71,-999.00,-999.00,0,0.14,0.23,-0.02,3.79,3.96,40.30,39.02,37.06,89.38,89.54,89.93,90.08,89.88,89.95
0:09:22,2,0.97,114.9,7.80,8.77,0.01280,2.3300,38.7167,89.71,-999.00,-999.00,0,0.22,0.47,-0.41,3.63,3.77,40.26,38.95,36.94,89.38,89.54,89.93,90.09,89.88,89.95
0:10:13,2,0.97,114.9,7.80,8.74,0.01403,2.0767,38.6133,89.72,-999.00,-999.00,0,0.47,1.26,-0.82,3.44,3.61,40.15,38.87,36.82,89.40,89.56,89.93,90.13,89.88,89.95
0:11:03,2,0.97,114.9,7.80,8.70,0.01526,1.8433,38.4833,89.74,-999.00,-999.00,0,0.60,1.50,-1.16,3.27,3.42,40.05,38.74,36.66,89.40,89.56,89.93,90.11,89.92,89.95
0:11:54,2,0.97,114.9,7.70,8.65,0.01648,1.5533,38.3667,89.74,-999.00,-999.00,0,0.72,1.79,-1.55,3.02,3.19,39.94,38.65,36.51,89.40,89.56,89.96,90.14,89.93,89.95
0:12:44,2,0.97,114.9,7.70,8.62,0.01770,1.3000,38.2700,89.76,-999.00,-999.00,0,0.82,2.04,-1.91,2.81,3.00,39.85,38.58,36.38,89.40,89.60,89.96,90.14,89.93,89.95
