0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,CABVARIATION,FRZVARIATION,TC1,TC2,TC3,TC4,TC5,TC6,TC11,TC12,TC13,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Cab,Ambient,Frez Door,Cab Door,Def/Rec Time,CabVariation,FrzVariation,FC1,FC2,FC3,FC4,FC5,FC6,FF1,FF2,FF3,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:01,2,0.58,115.1,8.580,5.76,0.0017,-1.9117,44.1533,89.78,-999.00,-999.00,0.000000,0.000000,0.000000,-0.39,-1.37,-1.36,-1.88,-3.51,-2.96,46.93,44.17,41.36,89.49,89.60,89.85,91.70,89.96,90.26
0:00:50,2,0.58,115.1,8.810,5.92,0.0008,-1.9033,44.0733,89.78,-999.00,-999.00,0,999.00,999.00,-0.36,-1.37,-1.33,-1.89,-3.51,-2.96,46.80,44.10,41.32,89.49,89.60,89.79,91.70,89.96,90.28
0:01:41,2,0.58,115.0,9.010,6.05,0.0016,-1.8650,43.7500,89.78,-999.00,-999.00,0,999.00,999.00,-0.31,-1.31,-1.28,-1.88,-3.46,-2.95,46.42,43.72,41.11,89.51,89.60,89.79,91.75,89.96,90.26
0:02:31,2,0.58,115.0,9.100,6.08,0.0025,-1.7650,43.3567,89.78,-999.00,-999.00,0,999.00,999.00,-0.22,-1.19,-1.12,-1.82,-3.38,-2.86,46.00,43.28,40.79,89.56,89.60,89.79,91.78,89.96,90.27
0:03:21,2,0.58,115.0,9.150,6.13,0.0033,-1.6533,42.9767,89.79,-999.00,-999.00,0,999.00,999.00,-0.08,-1.08,-0.95,-1.73,-3.32,-2.76,45.58,42.88,40.47,89.57,89.62,89.81,91.78,89.96,90.28
0:04:11,2,0.58,115.0,9.170,6.13,0.0042,-1.5383,42.7300,89.79,-999.00,-999.00,0,999.00,999.00,0.05,-0.94,-0.79,-1.69,-3.21,-2.65,45.31,42.66,40.22,89.61,89.61,89.81,91.84,89.98,90.28
0:05:01,2,0.58,115.0,9.180,6.15,0.0051,-1.4200,42.5400,89.79,-999.00,-999.00,0,1.61,0.49,0.16,-0.80,-0.60,-1.61,-3.12,-2.55,45.10,42.52,40.00,89.61,89.61,89.84,91.84,89.98,90.28
0:05:51,2,0.58,115.0,9.180,6.16,0.0059,-1.2917,42.4167,89.79,-999.00,-999.00,0,1.74,0.62,0.31,-0.65,-0.43,-1.51,-3.02,-2.45,44.96,42.41,39.88,89.58,89.60,89.85,91.86,89.98,90.28
0:06:42,2,0.58,115.0,9.170,6.17,0.0068,-1.1533,42.2933,89.80,-999.00,-999.00,0,1.86,0.76,0.46,-0.52,-0.25,-1.39,-2.91,-2.31,44.84,42.28,39.76,89.59,89.62,89.85,91.89,89.98,90.31
0:07:32,2,0.58,115.0,9.190,6.16,0.0077,-1.0500,42.1533,89.81,-999.00,-999.00,0,2.00,0.86,0.57,-0.38,-0.09,-1.34,-2.84,-2.22,44.70,42.14,39.62,89.59,89.61,89.86,91.94,90.00,90.31
0:08:22,2,0.58,115.0,9.190,6.16,0.0085,-0.9317,42.0100,89.80,-999.00,-999.00,0,2.14,0.98,0.68,-0.27,0.11,-1.26,-2.74,-2.11,44.56,41.98,39.49,89.57,89.60,89.88,91.97,90.00,90.34
0:09:13,2,0.58,115.0,9.190,6.16,0.0094,-0.7650,41.8400,89.82,-999.00,-999.00,0,2.31,1.15,0.88,-0.10,0.28,-1.11,-2.60,-1.94,44.37,41.81,39.34,89.57,89.60,89.87,91.97,90.04,90.34
0:10:03,2,0.58,115.1,9.200,6.17,0.0103,-0.6633,41.6900,89.82,-999.00,-999.00,0,0.86,0.79,0.95,0.01,0.42,-1.01,-2.51,-1.84,44.23,41.65,39.19,89.57,89.60,89.87,92.00,90.04,90.34
0:10:53,2,0.58,115.0,9.230,6.19,0.0111,-0.5300,41.4933,89.82,-999.00,-999.00,0,1.05,0.90,1.10,0.13,0.59,-0.90,-2.40,-1.70,44.02,41.45,39.01,89.57,89.60,89.87,92.05,90.04,90.36
0:11:44,2,0.58,115.0,9.260,6.23,0.0120,-0.4083,41.3033,89.83,-999.00,-999.00,0,1.25,1.04,1.21,0.28,0.74,-0.82,-2.28,-1.58,43.81,41.26,38.84,89.57,89.61,89.89,92.06,90.05,90.35
0:12:34,2,0.58,115.0,9.240,6.21,0.0129,-0.2900,41.1200,89.82,-999.00,-999.00,0,1.43,1.16,1.34,0.44,0.86,-0.71,-2.19,-1.48,43.64,41.05,38.67,89.56,89.59,89.88,92.08,90.04,90.37
0:13:24,2,0.58,115.0,9.280,6.23,0.0137,-0.1750,40.8967,89.82,-999.00,-999.00,0,1.66,1.27,1.48,0.53,1.00,-0.62,-2.08,-1.36,43.40,40.85,38.44,89.56,89.59,89.93,92.08,90.04,90.37
0:14:14,2,0.58,115.0,9.280,6.22,0.0146,-0.0583,40.7033,89.82,-999.00,-999.00,0,1.85,1.39,1.59,0.66,1.15,-0.52,-2.00,-1.23,43.17,40.65,38.29,89.51,89.59,89.94,92.15,90.06,90.40
0:15:05,2,0.58,115.1,9.310,6.24,0.0154,0.0583,40.4800,89.83,-999.00,-999.00,0,1.19,0.74,1.68,0.78,1.26,-0.42,-1.87,-1.08,42.93,40.42,38.09,89.51,89.59,89.96,92.21,90.07,90.41
0:15:55,2,0.58,115.0,9.380,6.23,0.0164,0.1733,40.2667,89.83,-999.00,-999.00,0,1.39,0.85,1.84,0.89,1.39,-0.31,-1.79,-0.98,42.71,40.22,37.87,89.50,89.60,89.95,92.21,90.06,90.41
0:16:45,2,0.58,115.0,9.330,6.27,0.0172,0.2883,40.0567,89.82,-999.00,-999.00,0,1.62,0.96,1.92,1.02,1.52,-0.23,-1.64,-0.86,42.48,40.00,37.69,89.49,89.59,89.94,92.19,90.06,90.41
0:17:36,2,0.58,115.1,9.340,6.27,0.0181,0.4050,39.8033,89.82,-999.00,-999.00,0,1.88,1.08,2.07,1.11,1.64,-0.10,-1.56,-0.73,42.21,39.75,37.45,89.49,89.58,89.96,92.24,90.07,90.42
0:18:26,2,0.58,115.1,9.350,6.27,0.0190,0.5250,39.5967,89.82,-999.00,-999.00,0,2.08,1.20,2.17,1.26,1.76,-0.00,-1.43,-0.61,41.96,39.55,37.28,89.49,89.58,89.95,92.26,90.06,90.46
0:19:16,2,0.58,115.0,9.340,6.26,0.0198,0.6267,39.3467,89.78,-999.00,-999.00,0,2.33,1.30,2.28,1.34,1.86,0.12,-1.34,-0.50,41.71,39.29,37.04,89.44,89.52,89.93,92.25,90.04,90.38
0:20:06,2,0.58,115.1,9.350,6.27,0.0207,0.7333,39.1467,89.78,-999.00,-999.00,0,1.35,0.69,2.37,1.46,1.96,0.21,-1.20,-0.40,41.47,39.12,36.85,89.43,89.52,89.93,92.26,90.04,90.40
0:20:57,2,0.58,115.0,9.120,6.11,0.0216,0.8250,38.9833,89.82,-999.00,-999.00,0,1.51,0.78,2.47,1.54,2.03,0.32,-1.12,-0.29,41.27,38.93,36.75,89.43,89.57,89.96,92.33,90.07,90.47
0:21:47,2,0.58,115.1,8.960,6.01,0.0225,0.9133,38.9200,89.82,-999.00,-999.00,0,1.57,0.87,2.54,1.64,2.11,0.39,-1.02,-0.18,41.19,38.87,36.70,89.42,89.58,89.96,92.36,90.07,90.48
0:22:37,2,0.58,115.1,8.870,5.95,0.0233,0.9517,38.8933,89.81,-999.00,-999.00,0,1.60,0.91,2.59,1.64,2.11,0.44,-0.95,-0.12,41.14,38.85,36.69,89.41,89.54,89.96,92.36,90.07,90.45
0:23:27,2,0.58,115.1,8.760,5.88,0.0241,0.9617,38.8700,89.79,-999.00,-999.00,0,1.62,0.92,2.60,1.60,2.09,0.49,-0.94,-0.07,41.11,38.84,36.66,89.41,89.52,89.96,92.36,90.06,90.45
0:24:18,2,0.58,115.0,8.700,5.82,0.0249,0.9350,38.8533,89.79,-999.00,-999.00,0,1.64,0.89,2.58,1.56,2.02,0.48,-0.95,-0.08,41.06,38.84,36.66,89.42,89.52,89.95,92.38,90.05,90.48
0:25:08,2,0.58,115.0,8.680,5.81,0.0257,0.9100,38.8167,89.78,-999.00,-999.00,0,0.34,0.19,2.57,1.50,1.97,0.47,-0.96,-0.09,41.00,38.79,36.66,89.35,89.52,89.93,92.36,90.04,90.44
0:25:58,2,0.58,115.0,8.640,5.79,0.0265,0.9000,38.8233,89.78,-999.00,-999.00,0,0.34,0.19,2.55,1.48,1.96,0.49,-0.98,-0.10,40.99,38.81,36.67,89.35,89.52,89.93,92.36,90.04,90.42
0:26:48,2,0.58,115.0,8.630,5.78,0.0273,0.8600,38.8433,89.77,-999.00,-999.00,0,0.32,0.14,2.50,1.42,1.94,0.46,-1.00,-0.16,40.98,38.83,36.72,89.35,89.50,89.93,92.37,90.04,90.43
0:27:39,2,0.58,115.0,8.570,5.75,0.0282,0.8117,38.8533,89.76,-999.00,-999.00,0,0.31,0.10,2.42,1.40,1.87,0.40,-1.01,-0.21,40.97,38.84,36.75,89.33,89.50,89.93,92.37,90.02,90.42
0:28:29,2,0.58,115.0,8.530,5.72,0.0290,0.7467,38.8400,89.74,-999.00,-999.00,0,0.29,0.04,2.35,1.32,1.77,0.37,-1.09,-0.24,40.97,38.81,36.74,89.30,89.50,89.90,92.37,89.98,90.42
0:29:19,2,0.58,115.0,8.500,5.71,0.0298,0.6850,38.8733,89.74,-999.00,-999.00,0,0.29,0.03,2.28,1.27,1.69,0.32,-1.13,-0.32,40.96,38.84,36.82,89.27,89.50,89.88,92.37,89.98,90.42
0:30:09,2,0.58,115.0,8.460,5.69,0.0306,0.5983,38.8700,89.73,-999.00,-999.00,0,0.03,0.32,2.17,1.22,1.58,0.21,-1.19,-0.40,40.94,38.84,36.83,89.28,89.48,89.90,92.41,89.98,90.41
0:30:59,2,0.58,115.0,8.440,5.67,0.0314,0.5000,38.8933,89.70,-999.00,-999.00,0,0.05,0.41,2.06,1.11,1.44,0.13,-1.25,-0.49,40.97,38.85,36.86,89.29,89.44,89.93,92.39,89.96,90.37
0:31:50,2,0.58,115.0,8.470,5.66,0.0321,0.3950,38.9167,89.70,-999.00,-999.00,0,0.07,0.52,1.92,1.02,1.33,0.04,-1.34,-0.60,40.95,38.86,36.94,89.21,89.44,89.85,92.36,89.96,90.38
0:32:31,1,0.52,115.1,0.830,0.49,0.0328,0.3000,38.9400,89.70,-999.00,-999.00,0,0.08,0.62,1.84,0.91,1.20,-0.05,-1.42,-0.68,40.96,38.90,36.96,89.24,89.44,89.85,92.36,89.96,90.37
0:32:37,1,0.52,115.1,0.830,0.49,0.0328,0.3000,38.9400,89.70,-999.00,-999.00,0,0.08,0.62,1.84,0.91,1.20,-0.05,-1.42,-0.68,40.96,38.90,36.96,89.24,89.44,89.85,92.36,89.96,90.37
0:32:37,1,0.52,115.1,0.830,0.49,0.0328,0.3000,38.9400,89.70,-999.00,-999.00,0,0.08,0.62,1.84,0.91,1.20,-0.05,-1.42,-0.68,40.96,38.90,36.96,89.24,89.44,89.85,92.36,89.96,90.37
0:33:27,1,0.49,115.2,0.650,0.37,0.0329,0.2650,38.8833,89.65,-999.00,-999.00,0,0.04,0.65,1.78,0.89,1.16,-0.07,-1.44,-0.73,40.92,38.84,36.89,89.28,89.39,89.83,92.28,89.91,90.34
0:34:18,1,0.50,115.2,0.650,0.37,0.0329,0.2833,38.7533,89.65,-999.00,-999.00,0,0.09,0.63,1.80,0.90,1.17,-0.05,-1.41,-0.71,40.78,38.71,36.77,89.28,89.41,89.81,92.16,89.90,90.34
0:35:08,1,0.49,115.2,0.650,0.37,0.0330,0.3867,38.6267,89.65,-999.00,-999.00,0,0.25,0.21,1.86,0.97,1.30,0.07,-1.28,-0.60,40.64,38.57,36.67,89.32,89.39,89.81,92.11,89.90,90.34
0:35:29,2,1.00,115.2,17.160,19.73,0.0333,0.4800,38.5767,89.63,-999.00,-999.00,0,0.30,0.12,1.95,1.08,1.39,0.15,-1.18,-0.51,40.56,38.54,36.63,89.35,89.39,89.80,92.06,89.87,90.33
0:35:36,2,1.00,115.2,17.160,19.73,0.0333,0.4800,38.5767,89.63,-999.00,-999.00,0,0.30,0.12,1.95,1.08,1.39,0.15,-1.18,-0.51,40.56,38.54,36.63,89.35,89.39,89.80,92.06,89.87,90.33
0:35:36,2,1.00,115.2,17.160,19.73,0.0333,0.4800,38.5767,89.63,-999.00,-999.00,0,0.30,0.12,1.95,1.08,1.39,0.15,-1.18,-0.51,40.56,38.54,36.63,89.35,89.39,89.80,92.06,89.87,90.33
0:36:27,2,1.00,115.1,17.070,19.63,0.0360,0.5400,38.5167,89.63,-999.00,-999.00,0,0.36,0.06,2.03,1.11,1.44,0.24,-1.12,-0.46,40.51,38.45,36.59,89.37,89.40,89.81,92.01,89.86,90.30
0:37:17,2,1.00,115.1,17.060,19.61,0.0387,0.6217,38.5233,89.62,-999.00,-999.00,0,0.34,0.00,2.14,1.18,1.48,0.37,-1.03,-0.41,40.47,38.47,36.63,89.40,89.39,89.82,91.97,89.85,90.28
0:38:07,2,1.00,115.0,17.040,19.59,0.0414,0.6800,38.5300,89.64,-999.00,-999.00,0,0.33,0.07,2.21,1.20,1.54,0.48,-0.98,-0.37,40.47,38.46,36.66,89.44,89.41,89.79,91.88,89.86,90.30
0:38:58,2,1.00,115.0,17.040,19.58,0.0442,0.7417,38.5467,89.62,-999.00,-999.00,0,0.33,0.14,2.33,1.26,1.55,0.59,-0.93,-0.35,40.47,38.48,36.69,89.43,89.39,89.79,91.79,89.85,90.26
0:39:48,2,1.00,115.1,17.030,19.59,0.0471,0.8033,38.5600,89.60,-999.00,-999.00,0,0.32,0.20,2.46,1.26,1.55,0.74,-0.88,-0.31,40.46,38.51,36.71,89.48,89.39,89.78,91.75,89.82,90.26
0:40:38,2,1.00,115.1,17.040,19.59,0.0498,0.8933,38.5767,89.63,-999.00,-999.00,0,0.06,0.53,2.62,1.30,1.59,0.95,-0.82,-0.28,40.46,38.51,36.76,89.50,89.41,89.76,91.67,89.84,90.27
0:41:28,2,1.00,115.1,17.020,19.56,0.0525,0.9917,38.6267,89.62,-999.00,-999.00,0,0.01,0.63,2.80,1.35,1.64,1.18,-0.78,-0.24,40.51,38.56,36.81,89.50,89.42,89.77,91.62,89.82,90.26
0:42:18,2,1.00,115.1,17.020,19.57,0.0552,1.1000,38.6600,89.60,-999.00,-999.00,0,0.02,0.74,3.05,1.38,1.66,1.41,-0.68,-0.22,40.52,38.59,36.87,89.51,89.40,89.76,91.53,89.79,90.20
0:43:08,2,1.00,115.1,17.010,19.55,0.0579,1.2117,38.6900,89.59,-999.00,-999.00,0,0.05,0.85,3.27,1.41,1.69,1.71,-0.63,-0.18,40.53,38.62,36.92,89.51,89.41,89.76,91.48,89.76,90.20
0:43:59,2,1.00,115.1,17.010,19.55,0.0606,1.3633,38.7200,89.57,-999.00,-999.00,0,0.07,1.00,3.61,1.47,1.75,2.04,-0.55,-0.14,40.57,38.63,36.96,89.54,89.39,89.75,91.40,89.76,90.20
0:44:49,2,1.00,115.0,17.000,19.53,0.0633,1.5083,38.7900,89.57,-999.00,-999.00,0,0.15,1.14,3.90,1.50,1.77,2.42,-0.48,-0.06,40.64,38.70,37.03,89.51,89.39,89.73,91.33,89.75,90.18
